hu-seasonal	source	assay_component	strainname	host	us_lineage	date	accession	subtype	country	global_sw_clade	new_global_lineage
map|AGSR|A/SWINE/ALBERTA/SD0014/2013|swine|alpha2|2013	map	AGSR	A/SWINE/ALBERTA/SD0014/2013	swine	alpha2	2013	na	na	Canada	na	1A.1.1-1
map|Agonly|A/SWINE/MANITOBA/D0348/2014|swine|alpha3b-2|2014	map	Agonly	A/SWINE/MANITOBA/D0348/2014	swine	alpha3b-2	2014	na	na	Canada	na	1A.1.1-3
map|AGSR|A/SWINE/MANITOBA/D0333/2014|swine|alpha3a|2014	map	AGSR	A/SWINE/MANITOBA/D0333/2014	swine	alpha3a	2014	na	na	Canada	na	1A.1.1-1
map|SRonly|A/SWINE/IOWA/1973|swine|alpha1|1973	map	SRonly	A/SWINE/IOWA/1973	swine	alpha1	1973	na	na	USA	na	1A.1
map|SRonly|A/SWINE/MINNESOTA/37866/1999|swine|gamma2-beta-like|1999	map	SRonly	A/SWINE/MINNESOTA/37866/1999	swine	gamma2-beta-like	1999	na	na	USA	na	1A.2-3-like
map|SRonly|A/SWINE/MINNESOTA/1192/2001|swine|gamma-npdm-like|2001	map	SRonly	A/SWINE/MINNESOTA/1192/2001	swine	gamma-npdm-like	2001	na	na	USA	na	1A.3.3-like
map|SRonly|A/SWINE/MINNESOTA/00194/2003|swine|gamma|2003	map	SRonly	A/SWINE/MINNESOTA/00194/2003	swine	gamma	2003	na	na	USA	na	1A.3.3.3
map|SRonly|A/SWINE/OHIO/511445/2007|swine|gamma|2007	map	SRonly	A/SWINE/OHIO/511445/2007	swine	gamma	2007	na	na	USA	na	1A.3.3.3
map|SRonly|A/SWINE/MINNESOTA/02053/2008|swine|alpha2|2008	map	SRonly	A/SWINE/MINNESOTA/02053/2008	swine	alpha2	2008	na	na	USA	na	1A.1.1-1
map|excluded|A/SWINE/KENTUCKY/02086/2008|swine|beta|2008	map	excluded	A/SWINE/KENTUCKY/02086/2008	swine	beta	2008	na	na	USA	na	1A.2
map|excluded|A/SWINE/MINNESOTA/02011/2008|swine|delta-like|2008	map	excluded	A/SWINE/MINNESOTA/02011/2008	swine	delta-like	2008	na	na	USA	na	1B.2.2
map|SRonly|A/SWINE/NORTH_CAROLINA/02023/2008|swine|gamma|2008	map	SRonly	A/SWINE/NORTH_CAROLINA/02023/2008	swine	gamma	2008	na	na	USA	na	1A.3.3.3
map|AGSR|A/SWINE/MINNESOTA/A01134353/2011|swine|delta1a|2011	map	AGSR	A/SWINE/MINNESOTA/A01134353/2011	swine	delta1a	2011	na	na	USA	na	1B.2.2.1
map|excluded|A/SWINE/ILLINOIS/A01203922/2012|swine|gamma2|2012	map	excluded	A/SWINE/ILLINOIS/A01203922/2012	swine	gamma2	2012	na	na	USA	na	1A.3.2
map|SRonly|A/SWINE/SOUTH_DAKOTA/A01349306/2013|swine|gamma2|2013	map	SRonly	A/SWINE/SOUTH_DAKOTA/A01349306/2013	swine	gamma2	2013	na	na	USA	na	1A.3.2
map|excluded|A/SWINE/SOUTH_DAKOTA/A01349341/2013|swine|delta1|2013	map	excluded	A/SWINE/SOUTH_DAKOTA/A01349341/2013	swine	delta1	2013	na	na	USA	na	1B.2.2.2
map|notfound|A/SWINE/MINNESOTA/A01392045/2013|swine|delta1a|2013	map	notfound	A/SWINE/MINNESOTA/A01392045/2013	swine	delta1a	2013	na	na	USA	na	1B.2.2.1
map|AGSR|A/SWINE/OKLAHOMA/A01409770/2014|swine|delta2|2014	map	AGSR	A/SWINE/OKLAHOMA/A01409770/2014	swine	delta2	2014	na	na	USA	na	1B.2.1
map|AGSR|A/SWINE/NEBRASKA/A01492366/2014|swine|delta1a|2014	map	AGSR	A/SWINE/NEBRASKA/A01492366/2014	swine	delta1a	2014	na	na	USA	na	1B.2.2.1
map|AGSR|A/SWINE/ILLINOIS/A01493472/2014|swine|npdm|2014	map	AGSR	A/SWINE/ILLINOIS/A01493472/2014	swine	npdm	2014	na	na	USA	na	1A.3.3.2
map|Agonly|A/SWINE/MINNESOTA/A01567490/2014|swine|gamma|2014	map	Agonly	A/SWINE/MINNESOTA/A01567490/2014	swine	gamma	2014	na	na	USA	na	1A.3.3.3
map|Agonly|A/SWINE/NORTH_CAROLINA/A01841602/2015|swine|gamma|2015	map	Agonly	A/SWINE/NORTH_CAROLINA/A01841602/2015	swine	gamma	2015	na	na	USA	na	1A.3.3.3
map|Agonly|A/SWINE/OHIO/A01847657/2015|swine|gamma|2015	map	Agonly	A/SWINE/OHIO/A01847657/2015	swine	gamma	2015	na	na	USA	na	1A.3.3.3
map|excluded|A/SWINE/SOUTH_DAKOTA/A01823237/2015|swine|alpha3b-1|2015	map	excluded	A/SWINE/SOUTH_DAKOTA/A01823237/2015	swine	alpha3b-1	2015	na	na	USA	na	1A.1.1-2
map|Agonly|A/SWINE/NORTH_CAROLINA/A02076926/2015|swine|gamma|2015	map	Agonly	A/SWINE/NORTH_CAROLINA/A02076926/2015	swine	gamma	2015	na	na	USA	na	1A.3.3.3
map|excluded|A/SWINE/IOWA/A02025359/2015|swine|alpha3b-2|2015	map	excluded	A/SWINE/IOWA/A02025359/2015	swine	alpha3b-2	2015	na	na	USA	na	1A.1.1-3
map|Agonly|A/SWINE/NORTH_CAROLINA/A01797415/2015|swine|gamma|2015	map	Agonly	A/SWINE/NORTH_CAROLINA/A01797415/2015	swine	gamma	2015	na	na	USA	na	1A.3.3.3
map|Agonly|A/SWINE/NORTH_CAROLINA/A01730369/2016|swine|gamma|2016	map	Agonly	A/SWINE/NORTH_CAROLINA/A01730369/2016	swine	gamma	2016	na	na	USA	na	1A.3.3.3
map|AGSR|A/SWINE/IOWA/A01731653/2016|swine|gamma|2016	map	AGSR	A/SWINE/IOWA/A01731653/2016	swine	gamma	2016	na	na	USA	na	1A.3.3.3
map|Agonly|A/SWINE/MEXICO/AVX61/2013|swine|delta-like|2013	map	Agonly	A/SWINE/MEXICO/AVX61/2013	swine	delta-like	2013	na	na	Mexico	na	Other_Human_1B.2
map|Agonly|A/SWINE/MEXICO/AVX18/2012|swine|delta-like|2012	map	Agonly	A/SWINE/MEXICO/AVX18/2012	swine	delta-like	2012	na	na	Mexico	na	Other_Human_1B.2
map|Agonly|A/SWINE/MEXICO/AVX23/2012|swine|gamma2-beta-like|2012	map	Agonly	A/SWINE/MEXICO/AVX23/2012	swine	gamma2-beta-like	2012	na	na	Mexico	na	1A.3.1
map|Agonly|A/SWINE/MEXICO/AVX44/2012|swine|npdm|2012	map	Agonly	A/SWINE/MEXICO/AVX44/2012	swine	npdm	2012	na	na	Mexico	na	1A.3.3.2
map|Agonly|A/SWINE/MEXICO/AVX31/2012|swine|npdm|2012	map	Agonly	A/SWINE/MEXICO/AVX31/2012	swine	npdm	2012	na	na	Mexico	na	1A.3.3.2
map|AGSR|A/SWINE/MINNESOTA/A01781045/2016|swine|alpha3b-2|2016	map	AGSR	A/SWINE/MINNESOTA/A01781045/2016	swine	alpha3b-2	2016	na	na	USA	na	1A.1.1-3
map|Agonly|A/SWINE/ALBERTA/SD0191/2016|swine|alpha3b-2|2016	map	Agonly	A/SWINE/ALBERTA/SD0191/2016	swine	alpha3b-2	2016	na	na	Canada	na	1A.1.1-3
map|Agonly|A/SWINE/SASKATCHEWAN/SD0094/2015|swine|alpha2|2015	map	Agonly	A/SWINE/SASKATCHEWAN/SD0094/2015	swine	alpha2	2015	na	na	Canada	na	1A.1.1-1
map|AGSR|A/SWINE/MANITOBA/SD0114/2015|swine|alpha3b-2|2015	map	AGSR	A/SWINE/MANITOBA/SD0114/2015	swine	alpha3b-2	2015	na	na	Canada	na	1A.1.1-3
map|AGSR|A/SWINE/ALBERTA/SD0154/2016|swine|alpha2|2016	map	AGSR	A/SWINE/ALBERTA/SD0154/2016	swine	alpha2	2016	na	na	Canada	na	1A.1.1-1
map|AGSR|A/SWINE/MANITOBA/D0392/2014|swine|alpha3b-2|2014	map	AGSR	A/SWINE/MANITOBA/D0392/2014	swine	alpha3b-2	2014	na	na	Canada	na	1A.1.1-3
map|AGSR|A/SWINE/SASKATCHEWAN/SD0102/2015|swine|alpha3b-2|2015	map	AGSR	A/SWINE/SASKATCHEWAN/SD0102/2015	swine	alpha3b-2	2015	na	na	Canada	na	1A.1.1-3
map|Agonly|A/SWINE/SASKATCHEWAN/SD0200/2016|swine|alpha3b-2|2016	map	Agonly	A/SWINE/SASKATCHEWAN/SD0200/2016	swine	alpha3b-2	2016	na	na	Canada	na	1A.1.1-3
map|AGSR|A/SWINE/ALBERTA/SD0125/2015|swine|alpha2|2015	map	AGSR	A/SWINE/ALBERTA/SD0125/2015	swine	alpha2	2015	na	na	Canada	na	1A.1.1-1
map|Agonly|A/SWINE/ILLINOIS/A01644323/2018|swine|delta1|2018	map	Agonly	A/SWINE/ILLINOIS/A01644323/2018	swine	delta1	2018	na	na	USA	na	1B.2.2.1
map|Agonly|A/SWINE/ILLINOIS/A02139356/2018|swine|delta2|2018	map	Agonly	A/SWINE/ILLINOIS/A02139356/2018	swine	delta2	2018	na	na	USA	na	1B.2.1
map|Agonly|A/SWINE/MICHIGAN/A01104117/2018|swine|delta2|2018	map	Agonly	A/SWINE/MICHIGAN/A01104117/2018	swine	delta2	2018	na	na	USA	na	1B.2.1
map|SRonly|A/SWINE/SASKATCHEWAN/SD0142/2016|swine|alpha3b-2|2016	map	SRonly	A/SWINE/SASKATCHEWAN/SD0142/2016	swine	alpha3b-2	2016	na	na	Canada	na	1A.1.1-3
fludb|KC508624|A/Arizona/M1/2012|H1N1|USA|Human|1A.3.3.2|02/23/2012	fludb	na	A/Arizona/M1/2012	human	na	23/02/2012	KC508624	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KY615388|A/Baltimore/0096/2016|H1N1|USA|Human|1A.3.3.2|03/04/2016	fludb	na	A/Baltimore/0096/2016	human	na	04/03/2016	KY615388	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KM409095|A/California/08/2014|H1N1|USA|Human|1A.3.3.2|01/17/2014	fludb	na	A/California/08/2014	human	na	17/01/2014	KM409095	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MK556913|A/California/67/2018|H1N1|USA|Human|1A.3.3.2|10/21/2018	fludb	na	A/California/67/2018	human	na	21/10/2018	MK556913	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KX411267|A/California/99/2016|H1N1|USA|Human|1A.3.3.2|03/25/2016	fludb	na	A/California/99/2016	human	na	25/03/2016	KX411267	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MK239094|A/Colorado/16/2017|H1N2v|USA|Human|1B.2.2.1|10/19/2017	fludb	na	A/Colorado/16/2017	human	na	19/10/2017	MK239094	H1N2v	USA	1B.2.2.1	1B.2.2.1
fludb|CY026523|A/Colorado/UR06_0053/2007|H1N1|USA|Human|Other_Human_1B.2|01/22/2007	fludb	na	A/Colorado/UR06_0053/2007	human	na	22/01/2007	CY026523	H1N1	USA	Other_Human_1B.2	Other_Human_1B.2
fludb|MN507260|A/Delaware/43/2019|H1N1|USA|Human|1A.3.3.2|07/17/2019	fludb	na	A/Delaware/43/2019	human	na	17/07/2019	MN507260	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY038762|A/District_of_Columbia/WRAMC_1154047/2008|H1N1|USA|Human|Other_Human_1B.2|02/01/2008	fludb	na	A/District_of_Columbia/WRAMC_1154047/2008	human	na	01/02/2008	CY038762	H1N1	USA	Other_Human_1B.2	Other_Human_1B.2
fludb|KY487656|A/EastBaltimore/0103/2016|H1N1|USA|Human|1A.3.3.2|03/06/2016	fludb	na	A/EastBaltimore/0103/2016	human	na	06/03/2016	KY487656	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KF648153|A/Florida/11/2013|H1N1|USA|Human|1A.3.3.2|03/13/2013	fludb	na	A/Florida/11/2013	human	na	13/03/2013	KF648153	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MN083594|A/Indiana/29/2019|H1N1|USA|Human|1A.3.3.2|04/09/2019	fludb	na	A/Indiana/29/2019	human	na	09/04/2019	MN083594	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY100480|A/Mexico_City/INER13/2009|H1N1|Mexico|Human|1A.3.3.2|11/10/2009	fludb	na	A/Mexico_City/INER13/2009	human	na	10/11/2009	CY100480	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY100493|A/Mexico_City/INER15/2009|H1N1|Mexico|Human|1A.3.3.2|11/25/2009	fludb	na	A/Mexico_City/INER15/2009	human	na	25/11/2009	CY100493	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY100501|A/Mexico_City/INER16/2009|H1N1|Mexico|Human|1A.3.3.2|11/30/2009	fludb	na	A/Mexico_City/INER16/2009	human	na	30/11/2009	CY100501	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY100508|A/Mexico_City/INER17/2010|H1N1|Mexico|Human|1A.3.3.2|01/07/2010	fludb	na	A/Mexico_City/INER17/2010	human	na	07/01/2010	CY100508	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY100522|A/Mexico_City/INER9/2010|H1N1|Mexico|Human|1A.3.3.2|01/18/2010	fludb	na	A/Mexico_City/INER9/2010	human	na	18/01/2010	CY100522	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY089387|A/Mexico/InDRE1945/2011|H1N1|Mexico|Human|1A.3.3.2|03/2011	fludb	na	A/Mexico/InDRE1945/2011	human	na	2011-03-	CY089387	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|KR820962|A/Mexico/INMEGEN_INER_04/2012|H1N1|Mexico|Human|1A.3.3.2|01/12/2012	fludb	na	A/Mexico/INMEGEN_INER_04/2012	human	na	12/01/2012	KR820962	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|KR820938|A/Mexico/INMEGEN_INER_12/2012|H1N1|Mexico|Human|1A.3.3.2|01/21/2012	fludb	na	A/Mexico/INMEGEN_INER_12/2012	human	na	21/01/2012	KR820938	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|CY176706|A/Minneapolis/INS3_675/2012|H1N1|USA|Human|1A.3.3.2|02/27/2012	fludb	na	A/Minneapolis/INS3_675/2012	human	na	27/02/2012	CY176706	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MK855998|A/Minnesota/14/2019|H1N1|USA|Human|1A.3.3.2|03/02/2019	fludb	na	A/Minnesota/14/2019	human	na	02/03/2019	MK855998	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY002624|A/New_York/230/2003|H1N1|USA|Human|Other_Human_1B.2|01/27/2003	fludb	na	A/New_York/230/2003	human	na	27/01/2003	CY002624	H1N1	USA	Other_Human_1B.2	Other_Human_1B.2
fludb|MN004283|A/New_York/28/2019|H1N1|USA|Human|1A.3.3.2|03/09/2019	fludb	na	A/New_York/28/2019	human	na	09/03/2019	MN004283	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY002360|A/New_York/300/2003|H1N2|USA|Human|1B.2.2|01/16/2003	fludb	na	A/New_York/300/2003	human	na	16/01/2003	CY002360	H1N2	USA	1B.2.2	1B.2.2
fludb|CY086993|A/New_York/3251/2009|H1N1|USA|Human|1A.3.3.2|2009	fludb	na	A/New_York/3251/2009	human	na	2009--	CY086993	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY087024|A/New_York/4557/2009|H1N1|USA|Human|1A.3.3.2|07/03/2009	fludb	na	A/New_York/4557/2009	human	na	03/07/2009	CY087024	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY258913|A/New_York/A_WC_LVD_16_018/2016|H1N1|USA|Human|1A.3.3.2|03/11/2016	fludb	na	A/New_York/A_WC_LVD_16_018/2016	human	na	11/03/2016	CY258913	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY026627|A/New_York/UR06_0199/2007|H1N1|USA|Human|Other_Human_1B.2|02/07/2007	fludb	na	A/New_York/UR06_0199/2007	human	na	07/02/2007	CY026627	H1N1	USA	Other_Human_1B.2	Other_Human_1B.2
fludb|MK733100|A/Nicaragua/30589_01_TR1/2015|H1N1|Nicaragua|Human|1A.3.3.2|11/12/2015	fludb	na	A/Nicaragua/30589_01_TR1/2015	human	na	12/11/2015	MK733100	H1N1	Nicaragua	1A.3.3.2	1A.3.3.2
fludb|MK733000|A/Nicaragua/8744_03/2015|H1|Nicaragua|Human|1A.3.3.2|11/25/2015	fludb	na	A/Nicaragua/8744_03/2015	human	na	25/11/2015	MK733000	H1	Nicaragua	1A.3.3.2	1A.3.3.2
fludb|JF758482|A/South_Dakota/03/2008|H1N1|USA|Human|1A.2|12/04/2008	fludb	na	A/South_Dakota/03/2008	human	na	04/12/2008	JF758482	H1N1	USA	1A.2	1A.2
fludb|MK960138|A/Texas/9435/2019|H1N1|USA|Human|Outgroup|02/08/2019	fludb	na	A/Texas/9435/2019	human	na	08/02/2019	MK960138	H1N1	USA	Outgroup	Outgroup
fludb|MK615191|A/USA/VFFSP_UNITHER_00001/2014|H1N1|USA|Human|Other_Human_1B.2|10/20/2014	fludb	na	A/USA/VFFSP_UNITHER_00001/2014	human	na	20/10/2014	MK615191	H1N1	USA	Other_Human_1B.2	Other_Human_1B.2
fludb|JF714020|A/SW/MB/5_5/2009|H1N1|Canada|Swine|1A.1.1|06/04/2009	fludb	na	A/SW/MB/5_5/2009	swine	na	04/06/2009	JF714020	H1N1	Canada	1A.1.1	1A.1.1
fludb|DQ280203|A/swine/Alberta/56626/03|H1N1|Canada|Swine|1A.1_like|2003	fludb	na	A/swine/Alberta/56626/03	swine	na	2003--	DQ280203	H1N1	Canada	1A.1_like	1A.1_like
fludb|CY195078|A/swine/Alberta/SD0014/2013|H1N1|Canada|Swine|1A.1.1|11/28/2013	fludb	na	A/swine/Alberta/SD0014/2013	swine	na	28/11/2013	CY195078	H1N1	Canada	1A.1.1	1A.1.1
fludb|CY195359|A/swine/Alberta/SD0042/2014|H1N2|Canada|Swine|1A.1.1|10/29/2014	fludb	na	A/swine/Alberta/SD0042/2014	swine	na	29/10/2014	CY195359	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY246227|A/swine/Alberta/SD0164/2016|H1N2|Canada|Swine|1A.1.1|04/13/2016	fludb	na	A/swine/Alberta/SD0164/2016	swine	na	13/04/2016	CY246227	H1N2	Canada	1A.1.1	1A.1.1
fludb|MK462854|A/swine/Alberta/SD0217/2017|H1N2|Canada|Swine|1A.3.3.2|02/08/2017	fludb	na	A/swine/Alberta/SD0217/2017	swine	na	08/02/2017	MK462854	H1N2	Canada	1A.3.3.2	1A.3.3.2
fludb|MK462717|A/swine/Alberta/SD0224/2017|mixed|Canada|Swine|1A.1.1|05/01/2017	fludb	na	A/swine/Alberta/SD0224/2017	swine	na	01/05/2017	MK462717	mixed	Canada	1A.1.1	1A.1.1
fludb|MK462862|A/swine/Alberta/SD0242/2017|H1N1|Canada|Swine|1A.3.3.2|05/29/2017	fludb	na	A/swine/Alberta/SD0242/2017	swine	na	29/05/2017	MK462862	H1N1	Canada	1A.3.3.2	1A.3.3.2
fludb|MK462290|A/swine/Alberta/SD0272/2018|H1N2|Canada|Swine|1A.1.1|03/09/2018	fludb	na	A/swine/Alberta/SD0272/2018	swine	na	09/03/2018	MK462290	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY159033|A/swine/Alberta/SG1415/2006|H1N1|Canada|Swine|1A.1.1|03/13/2006	fludb	na	A/swine/Alberta/SG1415/2006	swine	na	13/03/2006	CY159033	H1N1	Canada	1A.1.1	1A.1.1
fludb|MK071674|A/swine/Arizona/A02257613/2018|H1N1|USA|Swine|1A.3.3.2|09/20/2018	fludb	na	A/swine/Arizona/A02257613/2018	swine	na	20/09/2018	MK071674	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KP461621|A/swine/Arkansas/A01840239/2014|H1N2|USA|Swine|1B.2.1|12/22/2014	fludb	na	A/swine/Arkansas/A01840239/2014	swine	na	22/12/2014	KP461621	H1N2	USA	1B.2.1	1B.2.1
fludb|CY157583|A/swine/Arkansas/SG1157/2003|H1N1|USA|Swine|1A.2|07/23/2003	fludb	na	A/swine/Arkansas/SG1157/2003	swine	na	23/07/2003	CY157583	H1N1	USA	1A.2	1A.2
fludb|MF425631|A/swine/California/A01459202/2016|H1N2|USA|Swine|1B.2.2.2|03/21/2016	fludb	na	A/swine/California/A01459202/2016	swine	na	21/03/2016	MF425631	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KX830940|A/swine/California/A01778665/2016|H1N2|USA|Swine|1B.2.2.2|08/18/2016	fludb	na	A/swine/California/A01778665/2016	swine	na	18/08/2016	KX830940	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MN179391|A/swine/California/T1800664/2018|H1N1|USA|Swine|1A.3.3.3|04/05/2018	fludb	na	A/swine/California/T1800664/2018	swine	na	05/04/2018	MN179391	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MN179399|A/swine/California/T1801615/2018|H1N2|USA|Swine|1B.2.1|07/31/2018	fludb	na	A/swine/California/T1801615/2018	swine	na	31/07/2018	MN179399	H1N2	USA	1B.2.1	1B.2.1
fludb|KR859543|A/swine/Canada/01093/2006|H1N1|Canada|Swine|1A.1.1|2006	fludb	na	A/swine/Canada/01093/2006	swine	na	2006--	KR859543	H1N1	Canada	1A.1.1	1A.1.1
fludb|KJ847667|A/swine/Canada/AHL_14/2012|H1N1|Canada|Swine|1A.3.3.2|11/01/2012	fludb	na	A/swine/Canada/AHL_14/2012	swine	na	01/11/2012	KJ847667	H1N1	Canada	1A.3.3.2	1A.3.3.2
fludb|KJ847678|A/swine/Canada/QC_8/2012|H1|Canada|Swine|1A.3.3.2|09/25/2012	fludb	na	A/swine/Canada/QC_8/2012	swine	na	25/09/2012	KJ847678	H1	Canada	1A.3.3.2	1A.3.3.2
fludb|KP341381|A/swine/Colorado/A01555119/2014|H1N1|USA|Swine|1B.2.2.1|12/04/2014	fludb	na	A/swine/Colorado/A01555119/2014	swine	na	04/12/2014	KP341381	H1N1	USA	1B.2.2.1	1B.2.2.1
fludb|MH350900|A/swine/Colorado/A02157972/2018|H1N1|USA|Swine|1A.3.3.3|04/16/2018	fludb	na	A/swine/Colorado/A02157972/2018	swine	na	16/04/2018	MH350900	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK418470|A/swine/Colorado/A02428130/2018|H1N2|USA|Swine|1B.2.2.1|12/27/2018	fludb	na	A/swine/Colorado/A02428130/2018	swine	na	27/12/2018	MK418470	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|CY157695|A/swine/Colorado/SG1185/2004|H1N1|USA|Swine|1A.1.1|04/07/2004	fludb	na	A/swine/Colorado/SG1185/2004	swine	na	07/04/2004	CY157695	H1N1	USA	1A.1.1	1A.1.1
fludb|CY158265|A/swine/Colorado/SG1322/2009|H1N1|USA|Swine|1A.2|08/26/2009	fludb	na	A/swine/Colorado/SG1322/2009	swine	na	26/08/2009	CY158265	H1N1	USA	1A.2	1A.2
fludb|HE584748|A/swine/Holguin/121/2010|H1N1|Cuba|Swine|1A.3.3.2|11/01/2010	fludb	na	A/swine/Holguin/121/2010	swine	na	01/11/2010	HE584748	H1N1	Cuba	1A.3.3.2	1A.3.3.2
fludb|CY099069|A/swine/Illinois/02238/2008|H1N1|USA|Swine|1A.3.3.3|07/16/2008	fludb	na	A/swine/Illinois/02238/2008	swine	na	16/07/2008	CY099069	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|HM590675|A/swine/Illinois/03033/2010|H1N2|USA|Swine|1B.2.1|04/28/2010	fludb	na	A/swine/Illinois/03033/2010	swine	na	28/04/2010	HM590675	H1N2	USA	1B.2.1	1B.2.1
fludb|KF511790|A/swine/Illinois/A00857317F/2012|H1N1|USA|Swine|1A.3.3.3|01/25/2012	fludb	na	A/swine/Illinois/A00857317F/2012	swine	na	25/01/2012	KF511790	H1N1	USA	1A.3.3.3	1A.3.3.3
